ID,Textos,Título
92,"                                               De tablas y aulas                              Las risas, las caras de sorpresa y el jolgorio de niños y                              niñas inundaban la sala. Ventanas tapadas con viejos                              tableros. Oscuridad intencionada. Un silencio sepulcral                              precedía a la luz que brotaba de aquella máquina nacida                              de un montón de tablas. Decía el maestro que eran                              chispas de ciencia, aunque a mí me parecía magia.      La hoja de la libreta rezaba electrostática. Lo acompañaba un dibujo, un dictado y  una fecha que hoy clama. Era junio de 1936 y en ciernes, la llama.                                             Hemos vuelto a la escuela, pero nada está como estaba. Han cambiado la bandera y  el himno. Han desaparecido las tablas. Unos dicen que el maestro escapó. Otros, que  en paz descansa. No se le puede nombrar. Sus libros y su máquina alimentan el fuego  de la sala.                                             Hoy soy yo el maestro. Hoy presido yo la sala. Les hablo de estrellas y mirlos, de  átomos y galaxias. Yo sí uso sus libros. Los consulto solo en casa. Arranqué su  nombre de la portada, pero nunca olvidé sus enseñanzas. Hoy soy yo el maestro y he  construido su máquina. Han vuelto la risa y la sorpresa, indispensables en toda  enseñanza.                                             Han cambiado los tiempos. Han cambiado las aulas. Se ha olvidado a aquellos  maestros que su vida regalaron a la enseñanza. Se han perdido sus artefactos, sus  construcciones y sus máquinas, pero han perdurado sus dibujos, que hoy nos hablan  de sus aulas. De unas aulas llenas de ciencia, de juventud y de esperanza. Anhelos  compartidos por los que amamos la enseñanza.      Qué fue de los tableros? Qué fue de aquellas máquinas? Murieron por el polvo y el  tiempo o ejecutadas por las llamas. Hoy perdura su rastro escondido entre  amarillentas páginas. Máquinas que dejaron huella en vidas ya enterradas. Máquinas  que siguen intactas, entre figuras y palabras. Son las máquinas de los maestros, que  seguir educando aguardan.   ",de tablas y aulas
93,"El Ingenio      Era ruidoso. Ni los aceites y ungüentos de alto precio, ni las sustancias  amortiguadoras traídas de tierras lejanas, le habían permitido reducir el estruendo  que bañaba la ladera de la ciudad cuando el inmenso artificio se animaba. Gastó  horas incontables puliendo y lubrificando ruedas y tirantes, brazos, tubos y poleas,  pero inútilmente. El sonido permanecía intenso y desagradable. Y, una vez más, el  ingeniero emprendedor recibió la visita de los representantes ciudadanos.  Contaminación acústica era el término de moda, repetido incesantemente por  concejales, periodistas y vecinos. Y frente a tal unanimidad de poco valían las  apelaciones a sacrificarse por el progreso. Comprendió el ingeniero que ya no habría  más visitas, que la paciencia de los oyentes se había agotado y que las elecciones  municipales estaban cerca. Todos los candidatos habían jurado que su primera  medida sería ordenar el desguace de aquella cadena de armatostes, como  denominaban a su máquina maravillosa. A modo de consuelo hubo quien sugirió al  arruinado emprendedor que en el futuro mostrase los inmóviles mecanismos a los  turistas, cobrándoles la entrada. De algo serviría la fama ganada por el artificio entre  aquellos que no padecían su estrépito, explicó.        Aquella última tarde llegaron los alguaciles con el escrito del juez, ordenando  detener las máquinas. Y así hizo su creador, que despidió a los operarios pero  quedándose él en las instalaciones, para recoger la documentación, dijo.  Poco después de la medianoche los vecinos oyeron, primero asombrados y luego  enfurecidos, que el artificio había despertado de nuevo. Y su rugido no sólo subía en  volumen sino también en la viveza de su ritmo, como si los mecanismos  interpretasen un allegro tempestuoso de ferocidad creciente. Pronto se llenaron las  calles de ciudadanos equipados con objetos contundentes, armamento inútil pues no  fueron capaces de entrar en el reptante edificio para detener la maquinaria  desquiciada. Pero ni puertas, muros o tejados resistieron el estallido de la cadena de  artefactos cuyo movimiento enloquecido había ya superado todos sus límites de  resistencia. Los fragmentos volaron acompañados de gases ardientes y en pocos  minutos los incendios se extendieron incontrolables por los barrios cercanos.        Nunca se encontró el cuerpo del ingeniero emprendedor, pero hay quien  afirma que enseña mecánica en una oscura universidad americana.   ",el ingenio
94,"La coleccionista      La inauguración de la nueva sala del Museo de la Ciencia y la Técnica no resultó tan  tediosa como Carmen había anticipado, a pesar de los obligados saludos, discursos  y agradecimientos. Porque, para sorpresa de la dama patrocinadora, el recién  desvelado contenido era fascinante. Cuando un año antes accedió a donar una  notable cantidad para el montaje del Salón de Robótica, lo hizo por la insistencia de  Andrés, reciente y cuarto marido. Y se olvidó del asunto hasta ese día inaugural.  Pero no descubrió una aburrida muestra de robots industriales o quirúrgicos, sino  una colección de androides extraídos de la ficción. Alojados en oscuros nichos  abiertos en el perímetro de la sala, María, Robby, C3PO, R2D2, Robocop, Alita y  otros muchos que Carmen no supo reconocer, devolvían miradas y gestos a los  espectadores. Pues estaban dotados de movimiento, leve pero suficiente para darles  apariencia de vida. Pero lo que más conmovió a la mujer fue descubrir que no eran  muñecos de plástico y metal, sino hologramas casi perfectos. Y asaltada por una  visión partió en busca del autor de aquellas esculturas de luz. El ingeniero artista la  saludó con curiosidad y prevención. La coleccionista de maridos, como la llamaban  algunos periodistas temerarios. Maridos muy ricos que fallecían prematuramente.  Carmen quería saber si era posible reproducir figuras humanas. Por supuesto, si hay  suficiente documentación gráfica. La había. Debía ponerse a ello inmediatamente. El  coste no era problema. Mis tres maridos difuntos, claro, contestó a la cuestión  planteada por el ingeniero. Hay infinitas fotos y películas disponibles, añadió la  dama, preguntando si se podría hablar con ellos. No hace falta que lo hagan muy  bien, basta con que asientan a lo que yo diga, aclaró. Despachado el atónito pero ya  comprometido experto, Carmen se alejó de los demás invitados para repasar  tranquila los detalles de su nuevo proyecto, que otros hubieran llamado capricho o  extravagancia. Convenientemente reformado, el salón de baile del casón de Las  Rozas será muy adecuado para alojar a Felipe, Gonzalo y Henry, se dijo. Aunque tal  vez fuera demasiado grande para solo tres inquilinos. Seis sería un número perfecto,  concluyó. O al menos, cuatro. Unos metros más allá, Andrés captó su mirada y le  envió una sonrisa, apenas devuelta por Carmen. Suponía la mujer que las versiones  holográficas de los difuntos podrían incorporar mejoras sobre su estado pre mortem.  Por ejemplo, haciendo a Andrés un poco más alto. Y le observó pensativa.   ",la coleccionista
95,"                                     Ferroviario       Desde hacía ya tiempo, quería conocer el sitio donde mi abuelo había nacido y  crecido. De niño, mientras devoraba las natillas con galleta y canela, preparadas por  mi abuela, disfrutaba escuchando las historias contadas en persona, por mi abuelo:  las que me hacían viajar por países lejanos, conocer personajes sorprendentes y  vivir aventuras únicas.   Los años se fueron pasando, crecí, los vi envejecer e irse poco a poco hasta la  despedida sin retorno que nos impone la ley de la vida.   Conservo el tren eléctrico, hecho a escala, que me regaló ese madrileño tan  amado, el padre de mi padre. Hasta le he hecho una maqueta, siguiendo las  descripciones que él hacía de los paisajes y       su   gente,   para que recorra las  estaciones del barrio que dieron vida y acunaron las        aventuras de las que fue  protagonista en muchas, y testigo en otras tantas ocasiones.   Lo que no imaginé es que la vida me llevaría al sitio donde sus anécdotas tuvieron  lugar. Por viajes de mi trabajo, pude solicitar un certificado donde constaba la  dirección exacta donde había nacido él. Estaba registrado su bautizo en la Iglesia  San Roque, en Fuencarral, pueblo. En numerosas oportunidades recorrí el barrio  para localizar la calle que figuraba en el certificado de la iglesia, pero nunca logré  encontrarla. Muchos nombres de calles          habían cambiado y ese nombre en  particular, nadie lo conocía.   Por esas cosas de la vida, en la empresa donde trabajo, me destinaron a Madrid. El  mantenimiento de los ferrocarriles es mi profesión. Pasaron meses, hasta que, uno  de los requerimientos de la empresa era que inspeccionara yo los talleres del  ferrocarril en Fuencarral.   Escribí la dirección en el GPS, y llegué al destino sin dificultades. Entré con el auto  a los talleres, este moderno patrimonio de la industria, que no pertenece al pasado,  sino que a él, el pasado pertenece, por las calles internas, iluminadas con luz  artificial cargadas de historias que completan el éter.   Mi corazón casi se detuvo, al constatar en la pantalla del navegador, consternado y  atónito, que estaba yo justo sobre la calle en la que mi abuelo había nacido. Esa  que, resignado, tras incontables intentos fallidos, había desistido de seguir  buscando.   ",ferroviario
96,"                         LA TORRE CON LA QUE SOÑABA NICO.             Viajaban los pensamientos de Nico por la senda de un mundo futurista, guardado con  celo en su memoria fotográfica. Su mente, bisoña y visionaria, secuenciaba imágenes  misteriosas que edificaban una extraña torre, semejante a un gigantesco hongo Qué significaba  aquello que percibía? Ese día se acercó al parque y se sentó en un banco, en compañía de las  palomas que pululaban por allí. Nico frotó su brazo y vio cómo se erizaba el vello de su piel  bajo la influencia de la electricidad estática. Ensimismado, caminó por territorios oníricos, y su  clarividencia le guio hacia la torre. Despertó de su letargo cuando escuchó las increpaciones de  su padre: se había olvidado de ir a comer. La reprimenda fue severa, aunque él lo interpretó  como un rumor melifluo. Tenía la certeza de que aquella visión sellaría su destino.         Desde tal acontecer, Nico estudió con denuedo. Sus estanterías se llenaron de libros, los  anaqueles de su intelecto se colmaron de inventivas. Se rodeó de bombillas, de bobinas, de  cables; la electricidad y el electromagnetismo lo acompañaron por siempre. Pero pensaba en  su sueño de parvulario. Cuando los hilos conductores de la corriente alterna concedieron luz a  los hogares, se iluminó su ingenio creativo Había descifrado el sueño! Aquella torre, que  aparecía y reaparecía en su imaginación, se erigía como un enorme generador de energía  inalámbrica. Un invento que revolucionaría el mundo.         Gastó Nico sus neuronas, su ingenio, su dinero y el de socios inversores en construir su  gigantesco generador con el que produciría energía gratuita a la Humanidad, y que asoció al  bienestar y a la paz. Pero su filantropía se estrelló con la realidad de aquella primera mitad del  siglo XX, dominada por el poder del dinero y por la fuerza de las armas. Solo desencriptó su  sueño a medias, y el proyecto sucumbió en los abismos de una dolorosa derrota.         Al cabo de los años, Nico, anciano, arruinado y decepcionado, se sentó en un banco y  se rodeó de palomas. Sus remembranzas lo guiaron hacia el niño que soñaba con una torre de  energía inalámbrica. Y pensó que el destino eligió a la persona correcta, pero erró al seleccionar  la época. Quizás la sociedad no estaba preparada para su proyecto.         Recordó a aquel chaval al que se le olvidaba ir a comer, y permaneció embebido en esas  sensaciones. Y en esta ocasión, se le olvidó respirar.             La torre de ese genio llamado Nikola Tesla fue derruida en 1917. Su historia se sume en  el éxito indiscutible de sus inventos, en el fracaso estrepitoso de sus propósitos y en la polémica  constante por sus ideas, a veces incluso peregrinas. Más de un siglo después, el proyecto de la  torre Wardenclyffe dormita, en espera de que otra mente prodigiosa ose despertarlo.   ",la torre con la que sonaba nico
97,"LAS MÉDULAS    Me llamo Publio Rufo y fui manumitido por mi señor para trabajar en estas landas de la  Hispania Tarraconense, a las órdenes de Cayo Plinio Secundo, gran naturalista y pretor de  Roma. Soy capataz, gracias a la bondad e influencias de mi amo. A mis órdenes trabajan cien  antiguos esclavos, como yo, sin pausa; la enfermedad o la muerte son su único reposo.    Es esta la mina abierta más grande del Imperio y quizá de la historia de los hombres. Son tierras  de aluvión en pendiente, con polvo de oro y abundante agua para discernirlo y rescatarlo. Yo  mismo he mandado canalizar y embalsar riachuelos de montaña que ayuden a tal fin.    Es grande el apetito de los humanos por el oro. Se vive para conseguirlo, se mata para obtenerlo.  Se miden las civilizaciones por la posesión del mineral ansiado.    Al llegar a los depósitos esperan al agua unos taludes. Allí se separa lo estéril del metal con  cuencos de doble rejilla y piel de oveja. Al ver el fugaz centelleo se grita: Aureus, y se acercan  los vigilantes. Se pesa lo encontrado, y el obrero que lo halla come más cebollas y bebe más  cerveza. Si alguien tragara una pepita, y puede demostrarse, es degollado al punto y se le extrae  del cuerpo. Por eso ninguno acerca las manos a la boca durante el trabajo, para eliminar dudas.  Miles escogen laborar aquí, antes que entrar en el vientre del mundo, porque ven el sol, que es  la vida. En las grandes celebraciones se les ofrece vino, y hasta prostitutas sufragadas por el  cuestor para que sigan teniendo apego al existir.    En unas casas especiales se purifica el metal bajo una técnica aprendida de los antiguos  egipcios; se funde con plomo y salvado de cebada, da forma en artesas y se envía. Quienes esto  hacen comen bien y duermen más. Hoy mismo he preparado un cargamento a Roma, pues el  Emperador así lo ha decidido. Nunca se formulan preguntas, pues la respuesta puede ser el filo  de la espada.    Pido a los dioses no fallecer muy pronto, ya que me son gratos el sueño, la bebida y el respirar.  En el bastón de mando, como es costumbre, hay incrustado un pedazo mínimo de oro. Todos  los días lo miro. Brilla bajo el sol, su hermano grande y eterno, y agrada, subyuga, magnetiza.  Es una bendición o una maldición de las deidades? Quién soy yo para juzgar tales cosas?    A veces recuerdo mi existencia de fámulo en la villa de los señores. Sin duda era una existencia  más fácil. Fui yo quien insitió en abandonarla. Aunque, quién comprende los ardides  inescrutables del albur? No yo, el que va a morir, Publio Rufo, esclavo manumiso.        ***                                                                                                        1   ",las mdulas
98,"EL MAR Y EL FARU    Cómo te conozco desde el inicio, Faro de San Juan, enemigo de mi gula de hombres y sed de  cambios durante la monotonía de mi existencia. Pues, aun variado en mi vientre, la existencia  en la superficie me aburre, me hace dormitar y ser travieso. Qué más da al humano unas  decenas de vidas? Pero ahí estás tú, erguido y constante, como yo mismo, para evitarlo.    En la que vosotros llamáis La Punta del Castillo me he llevado yo unas cuentas piezas cobradas.  Pues desde el Cabo de Peñas no teníais otra luminaria de los escarpes y bajíos. Entonces te  construyeron, adosado a un edificio que servía para todo, desde almacén y aduana, hasta  hospital improvisado. Ya la técnica iba ganando alfiles en el gran tablero del mundo.    Tu primera luz era amarillenta como la de un cirio, perdona que te lo recuerde, pues se  alumbraba de aceite de oliva. A pesar de su aspecto fantasmal, salvó a unos cuantos  desdichados. Pronto te suministraron parafina, y ahí llegó tu soberbia, pues te sentías capaz de  hacerme frente. A mí, más extenso que los continentes todos, más poderoso que máquina  alguna inventada por la especie humana!    Y cuándo te acoplaron las pantallas giratorias y un tambor dióptrico de rojo cristal? No cabías  en ti de gozo, con tu cuerpecillo de pirámide y tu ojo de Polifemo. Ciertamente casi no se hundía  ya nadie, tras cualquier incidente los hombres eran rescatados. Sí!    Ahora ya eres eléctrico. Tu luz se expande más de veinte millas náuticas. Has ido avanzando,  pensarás, y yo me mantengo con las fuerzas iniciales, con idénticas armas que cuando me  surcaban los trirremes o los navíos vikingos. Pero no te fíes!    Eres un orgulloso! Te viene de fabricación. Quién hubiese podido prever que con los cañones  de corsarios ingleses iban a edificarte.    No olvides esto: tú mejorarás, y amanecerá un día en que ningún pescador o marino fallezca en  estas aguas. Pero yo soy eterno y perseverante. En esta partida de ajedrez infinita, nunca me  doy por vencido. No pongas esa cara de suficiencia! La odio!    ***                                                                                                         1   ",el mar y el faru
99,"                      MI VIEJA MÁQUINA DE ESCRIBIR          En el rastro, después de cuarenta años, allí estaba mi vieja máquina de  escribir, mi Crandall modelo 1887 que me regaló mi abuelo por mi cumpleaños  cuando supo que quería ser escritor. Era ella porque la mía tenía una marca en  la letra M, que yo la hice cuando apareció en mi vida Mirón, mi gato preferido  que se subía encima de las teclas cuando yo escribía mi primera novela sobre  mi infancia.          Con solo verla, me dio un vuelco el alma, pues parecía mirarme con  reproche, como si recordara cuando mi madre, como estorbaba, decidió  regársela a una gitana que solía ir recogiendo chatarra. Y no me extraña.          Yo también me sentiría ofendido si fuera una Crandall y me mezclaran con  la chatarra, sin valorar mi excepcional diseño repleto de color, sobre las teclas,  situadas a izquierda y derecha, como si fueran a salirse de la máquina.          Ella sabía más de mí que mi propia madre, pues estaba conmigo cuando  estaba alegre o bañado en lágrimas, y escribía mis primeros poemas sobre los  problemas que me agobiaban. Especialmente el sentirme acosado en el colegio  por una banda de compañeros de clase que me pegaban si me negaba a  compartir con ellos mi bocadillo en el recreo o el dinero que llevaba.          Era insoportable y yo creo que mi Grandall se dio cuenta por lo que  escribía que quería eliminarme, y siempre que hablaba de lo mismo, como que  se averiaba y me mantenía entretenido arreglándola toda la tarde.           Cuánto pide por la máquina de escribir?           Lo que quiera, porque está escacharrada.           Cómo que escacharrada? Si habla.           Pues a mí no me dice nada.           Porque a mi Grandall hay que saber escucharla.   ",mi vieja mquina de escribir
100," II CONCURSO INTERNACIONAL DE RELATOS CORTOS SOBRE        PATRIMONIO INDUSTRIAL MÁQUINAS Y PALABRAS                                      Título: LA FICEP             La empresa había comenzado de cero. Se trataba de una industria  metalmecánica que comenzó su actividad allá por el año 1950. Fue el resultado de la  unión de dos profesionales del sector con unos conocimientos básicos de la actividad  que pretendían llevar a cabo. Con mucho esfuerzo lograron reunir un pequeño capital  y en una nave industrial de alquiler comenzaron a reparar soportes metálicos para  líneas eléctricas de media tensión que la compañía eléctrica local les solicitaba de vez  en cuando.         En un momento dado decidieron dar un paso más e iniciar la fabricación de  pequeñas torres de las denominadas de presillas, uniendo los fustes con cartelas  horizontales soldadas por electrofusión de electrodos.         Los tiempos que corrían no eran proclives a facilitar la actividad que habían  iniciado. Escaseaban las materias primas y era costoso adquirir el acero necesario para  trabajar. Existían cupos oficiales de la D.O.E.I.S. que apenas alcanzaba para cubrir  una parte de las necesidades y había que acudir al mercado secundario,  principalmente del País Vasco y Cataluña, a unos precios superiores.         Se trabajaban ocho horas diarias, durante seis días semanales y poco a poco la  empresa fue creciendo y ampliando su gama de fabricados, consiguiendo la  aprobación de sus clientes y el respeto de los competidores por su buen hacer. Con la  implantación de la norma ISO9001, el mayor deseo de los propietarios era adquirir  una máquina automática de corte y punzonado de angulares para incrementar la  producción y rebajar costes, cosa que se llevó a cabo mediante la compra de una línea  FICEP italiana, que se financió a plazos por el sistema de leasing.         El éxito fue inmediato y en breve plazo se consiguió el objetivo. Este acierto  suscitó, sin embargo, un problema general, pues todos los fabricantes habían hecho lo  propio y se llegó a duplicar la oferta frente a las necesidades reales del mercado, con  lo cual los precios cayeron en picado y la empresa tuvo que cerrar al no disponer de  suficiente respaldo económico para soportar la crisis.         Yo era un empleado administrativo que vivió de cerca todo el proceso y  recuerdo ver llorar a mis jefes el día que embargaron la máquina FICEP.   ",la ficep
101,"SE BUSCA DESAPARECIDO                                                               Pdo. Aire                 Al secretario le faltaba el aire. Y las letras en su máquina de escribir. Lo había  comprobado durante toda la mañana antes de comunicarlo al Superior. No podía ser que al  realizar el inventario del Patrimonio Industrial le fueran desapareciendo los bienes inmuebles.  Vamos, que tan pronto le faltaba una fábrica metalúrgica, como le desaparecía una mina de  carbón. Lo peor fue cuando no encontró ni las carreteras, ni los canales para transportar el  agua y no podía contabilizar los postes de electricidad. Pensó que la culpa la tenía su esposa.  Para cenar le había preparado una tortilla de setas y lo más seguro le habían alterado la  cabeza. Jamás antes había tenido un despiste tan grande, a no ser que empezara ya con la  demencia. Para la hora del almuerzo ya no encontraba ni la maquinaria, ni los uniformes, ni  los archivadores donde debían estar guardados los listados por Comunidades.         El secretario lloró. Se consideraba el encargado de proteger y conservar el patrimonio  de todos y si los de arriba se enteraban del extravío, no tardaría en rodar su cabeza.         Se le ocurrió que bien podía ganar algo de tiempo tratando de explicar que había  habido una reubicación, que los mineros podían sacar carbón de un canal y que a lo mejor  salía luz del corcho o la madera. Que con un poco de habilidad, cualquier materia prima era  explotable y hasta que la Unesco se enterara de que las construcciones romanas eran obras de  ingenieria de la Edad Media y en la próxima conferencia europea se hablara de los objetivos  precisos de la arqueología como revolución industrial; nadie tenía por qué saber que la  verdadera catástrofe partía de un mísero despacho, de un triste secretario y de una evidencia  más que científica.         Demostrar la tesis de las desapariciones ya era cosa de expertos de altas esferas. Pero  él no tenía duda. Y temblaba. Los medios de comunicación iban a estar a pie del cañón.  Exigiendo respuestas. Como todos. Porque la partida presupuestaria para la conservación no  podía evaporarse. A menos que el seguimiento quedara en punto muerto y se pagara a un  detective capaz de arreglar el entuerto y devolver el Patrimonio a sus orígenes. Si hubiera  creído en los milagros.... Aun siendo ateo, se santiguó. Justo antes de que los de arriba lo  llamaran a gritos.   ",se busca desaparecido
102,"La memoria del río    De fondo sentía el fluir del río como si fuese una alegre melodía interpretada por  aquel agua que otrora fue mágica sinfonía de la vida y del futuro de aquella ciudad  bulliciosa entre lanas, hierros y chimeneas.    Los edificios medio abandonados se situaban a ambos lados del curso del río,  memoria y testimonio del esplendor y la decadencia de aquel lugar.          Mamá, por qué están rotos los cristales?        Pues porque ya nadie trabaja ahí. Se habrán roto por el aire o por el paso del         tiempo. No lo sé.        Teresa, ves aquel edificio de color blanco con el tejado azul? Allí estuvo         trabajando tu abuelo durante cuarenta años lavando y cardando lana.    El viento mecía las ramas de los árboles hasta el punto de escuchar sonidos que  parecían palabras. Era como si ellos también quisieran decir algo de su pasado.          Cuando yo tenía tu edad acompañaba a tu abuela muchas tardes después de         la escuela para recoger a tu abuelo del trabajo. Traíamos algo de merienda y         nos sentábamos entre las piedras observando cómo venían las aguas de         colores por los tintes. Si lo vieras Teresa, aquello parecía la paleta de un         pintor cuyo lienzo era la tierra.        Pero mamá, no os pasaba nada por beber de aquel agua?        Qué va! A nosotros no nos llegaban esas aguas tan sucias. No vivíamos aquí         sino en otro pueblo a unos diez kilómetros de distancia. Tu abuelo cogía la         bicicleta todos los días para venir a trabajar a la fábrica. Cuántas historias me         contaba! Recuerdo aquella de cuando una de las máquinas casi le corta un         dedo o aquella cuando se estropeó una de las máquinas y estuvieron tres         días sin poder hacer nada. Imagínate lo peligroso y arriesgado que era.        Podemos entrar a verlo mamá?        No, mi niña, todas las fábricas están ahora cerradas pero al final de esta ruta         hay un museo que tiene muchas de esas máquinas y telares que usaban y si         quieres vamos a verlo.    Madre e hija continuaron su ameno paseo entre el sonido del agua, las fábricas  abandonadas y los recuerdos de una vida entera entre máquinas y sueños.   ",la memoria del rio
103,"                              El Silo de Trigo. 1.976  Era un niño de siete años, y esa mañana principios de septiembre antes de  empezar el colegio, cuando mi padre, me llevo al silo donde trabajaba. Era el jefe  de aquel edificio extraño de altos techos y formas chilindrinas enormes, siempre  me había llamado la atención desde fuera, pues no entendía la finalidad de  aquellas formas, mi sorpresa fue al descubrir cómo se almacenaba el grano en  aquellos gigantes seis cilindros de hormigón pegados como soldados en  formación. Terminaban en su base con formas cónicas, a unos tres metros del  suelo, para que pudieran descargar los camiones que no paraban de salir para  los molinos. Para el proceso de carga de los camiones que venían de la siega  de los campos, era más sencillo según yo lo veía, pues las bestias mecánicas  doblaban sus espaldas sobre una enorme reja verde en el suelo, la cual, se  tragaba con apetito voraz de golpe aquella montaña de trigo, una tolva enterrada  movía y subía el cereal a la parte alta del cilindro, en un ruido sordo de  engranajes y motores eléctricos.  El olor era muy característico para mi joven olfato, se mezclaban tres olores  básicos; madera, azúcar y paja. Así era como olía para mí el trigo, esas  montañas enormes que portaban aquellos camiones Ebro, de hercúleas ruedas,  y rugido de león al arrancar, que soltaban cual ballena al respirar, una nube de  hollín negro con olor a gasoil, mientras esperaban su turno en la báscula para  pesar su preciada carga. En ocasiones, me parecían una manada de elefantes  en cola, pasando uno a uno, para alimentar a la bestia enorme que era aquel silo  de cereales.  Mi padre entro decidido en el almacén, y con un enorme termómetro tomo la  temperatura del vientre de aquella colina de trigo. Con un gesto, dio la orden a  dos operarios de llevarse aquella loma  yo me preguntaba ingenuo como solo  dos hombres retirarían esas toneladas. Cuando los vi aparecer con un cañón  alargado de unos tres metros de largo y color verde, inclinado en un ángulo de  treinta grados, se apoyaba sobre dos ruedas y un trípode, iguales a las de un  viejo avión. El tubo era estrecho, como del tamaño del brazo del hombre que lo  manejaba, en su parte inferior terminaba en una caja abierta rectangular y en su  parte superior tenía un codo con forma de cañería a noventa grados. A mitad del  tubo, tenía una caja de registro con solo dos botones; uno rojo, otro azul, y de  allí salía una enorme manguera de cable que enchufaron a la corriente. El  extremo inferior lo colocaron en el interior de la colina de trigo, el superior a las  costillas de un camión, y por arte de magia para mí, aquel artilugio empezó a  succionar rápido el trigo y soltarlo cual chorro de agua sobre el camión, mientras  los dos obreros, alimentaban a la alimaña con paladas y paladas de trigo.  A los pocos minutos, ya solo quedaba un montoncito, y pude ver como una  serpiente mecánica se retorcía dentro del tubo. Es un tornillo continuo de  Arquímedes, tiene 2.200 años ese invento   me dijo con seriedad mi padre   Y  por fin, puede verle utilidad aquel señor inventor, del cual no paraba de hablar  mi maestro. Aquello me hizo viajar en el tiempo, con la ingenuidad de la mirada  de un niño, observando aquellas maquinas trabajar por primera vez   ",el silo de trigo 1976
104,"Hebras de la tierra  Ella se quitó los anteojos, se apoyó en el respaldo alto de la silla mullida que tenía  en su oficina y cerró su computadora de última generación. Suspiró. Por fin había  podido enviar a los ingenieros en la fábrica, los diseños para la próxima producción.  Rindió sus frutos ese programa que durante meses le había quitado el sueño. Hacer  vajilla de temporada, con estampas y colores que acompañaran los cambios de  estación, había salvado el negocio.  Cuando jugaban con sus hermanos y hermanas en el patio de la casa de la abuela,  nunca pensaron que aquellos juegos en el horno raro que tenía la abuela se  convertirían en el negocio familiar.  Ver las manos de la abuela danzando sobre el bodoque amorfo de pasta, dando a  luz platos, cuencos, vasijas siempre les había parecido mágico. Y ella había sabido  transmitirles el don de esa magia familiar jugando.  Jugando aprendieron a hacer, a crear, a volar y desconocer los límites de los  prejuicios. Tan chiquitos jugando tan seriamente. La abuela sabía muy bien lo que  hacía. Les inspiraba amorosamente el amor al trabajo, a la curiosidad, a la  creatividad, a la cooperación. Cada uno se había especializado en lo que más le  gustaba. Ana investigaba cómo colorear las pastas, Julia las formas de cocción,  Joaquín amaba pintar y esa maravilla de colorear y sólo intuir cómo quedaría.  Mientras Josi se ocupaba de las ventas en la comarca, ella así de a poco se había  convertido en la actual administradora. Desde otro lugar acompañaron Pedro y  Alejandra, mellizos, que compartieron su interés por el cielo y aprendieron a volar.  La abuela acompañó a su manera a cada uno, en sus intereses. Y cuando varios de  ellos fueron a la universidad se sintió orgullosa de haberles enseñado un oficio. Ella  decía que siempre estén donde estén tendrían sus manos y tierra para trabajar. Por  lo cual estuvo desbordada de felicidad cuando le anunciaron que se harían cargo del  horno de su patio para seguir la actividad.  Disfrutó ver crecer a sus nietas y nietos. Superando no pocas tormentas,  conociéndose en sus luces y sombras, dispuestos a aceptarse, a trabajar sabiendo  que juntos tenían una fuerza poco común.  La abuela llegó a ver los cimientos de la nueva fábrica que incorporaba tornos y  hornos electrónicos, así como la última tecnología al cuidado de quienes trabajan.  Se emocionó hasta las lágrimas, cuando le mostraron el espacio que le habían  dedicado al viejo horno del patio que aún funcionaba.   ",hebras de la tierra
